Survey,TVD [ft],HD [ft],MD [ft],,,,
0,0.00,0.00,0.00,,,,
1,100.00,0.00,100.00,,,,
2,108.11,0.09,108.12,,,,
3,116.31,0.37,116.32,,,,
4,124.59,0.82,124.61,,,,
5,132.94,1.45,132.98,,,,
6,141.35,2.26,141.43,,,,
7,149.82,3.24,149.96,,,,
8,158.35,4.39,158.57,,,,
9,166.93,5.71,167.24,,,,
10,175.55,7.20,175.99,,,,
11,184.20,8.84,184.80,,,,
12,192.89,10.65,193.67,,,,
13,201.60,12.62,202.61,,,,
14,210.33,14.74,211.59,,,,
15,219.08,17.01,220.62,,,,
16,227.83,19.44,229.70,,,,
17,236.58,22.01,238.83,,,,
18,245.33,24.73,247.99,,,,
19,254.06,27.59,257.18,,,,
20,262.79,30.59,266.40,,,,
21,271.48,33.73,275.65,,,,
22,280.16,37.01,284.92,,,,
23,288.79,40.42,294.21,,,,
24,297.39,43.96,303.51,,,,
25,305.94,47.63,312.81,,,,
26,314.44,51.42,322.12,,,,
27,322.88,55.34,331.43,,,,
28,331.26,59.38,340.73,,,,
29,339.57,63.54,350.02,,,,
30,347.81,67.81,359.30,,,,
31,355.96,72.20,368.56,,,,
32,364.03,76.70,377.80,,,,
33,372.00,81.31,387.00,,,,
34,379.88,86.02,396.18,,,,
35,387.65,90.84,405.33,,,,
36,395.31,95.75,414.43,,,,
37,402.86,100.77,423.49,,,,
38,410.28,105.89,432.51,,,,
39,417.58,111.09,441.47,,,,
40,424.74,116.39,450.38,,,,
41,431.76,121.78,459.23,,,,
42,438.64,127.25,468.02,,,,
43,445.36,132.81,476.74,,,,
44,451.93,138.45,485.40,,,,
45,458.33,144.17,493.98,,,,
46,464.57,149.96,502.49,,,,
47,470.63,155.83,510.93,,,,
48,476.51,161.77,519.29,,,,
49,482.20,167.78,527.57,,,,
50,487.70,173.86,535.76,,,,
51,493.00,180.00,543.88,,,,
52,598.44,305.66,707.92,,,,
53,703.89,431.33,871.96,,,,
54,809.33,556.99,1036.00,,,,
55,914.78,682.65,1200.04,,,,
56,1020.22,808.32,1364.09,,,,
57,1125.67,933.98,1528.13,,,,
58,1231.11,1059.64,1692.17,,,,
59,1336.55,1185.31,1856.21,,,,
60,1429.50,1292.00,1997.71,,,,
61,1434.64,1298.16,2005.73,,,,
62,1439.65,1304.29,2013.65,,,,
63,1444.54,1310.39,2021.48,,,,
64,1449.31,1316.48,2029.21,,,,
65,1453.96,1322.54,2036.85,,,,
66,1458.49,1328.59,2044.40,,,,
67,1462.89,1334.63,2051.87,,,,
68,1467.18,1340.65,2059.27,,,,
69,1471.35,1346.67,2066.59,,,,
70,1475.40,1352.68,2073.84,,,,
71,1479.34,1358.69,2081.02,,,,
72,1483.16,1364.70,2088.14,,,,
73,1486.87,1370.71,2095.20,,,,
74,1490.46,1376.72,2102.21,,,,
75,1493.94,1382.75,2109.17,,,,
76,1497.31,1388.78,2116.08,,,,
77,1500.57,1394.83,2122.95,,,,
78,1503.71,1400.90,2129.78,,,,
79,1506.75,1406.98,2136.58,,,,
80,1509.68,1413.09,2143.35,,,,
81,1512.50,1419.22,2150.10,,,,
82,1515.22,1425.37,2156.83,,,,
83,1517.82,1431.56,2163.55,,,,
84,1520.33,1437.78,2170.25,,,,
85,1522.73,1444.03,2176.95,,,,
86,1525.02,1450.33,2183.65,,,,
87,1527.22,1456.66,2190.35,,,,
88,1529.31,1463.04,2197.06,,,,
89,1531.30,1469.46,2203.79,,,,
90,1533.20,1475.93,2210.53,,,,
91,1534.99,1482.45,2217.29,,,,
92,1536.68,1489.03,2224.09,,,,
93,1538.28,1495.67,2230.91,,,,
94,1539.78,1502.36,2237.77,,,,
95,1541.19,1509.12,2244.67,,,,
96,1542.50,1515.94,2251.62,,,,
97,1543.72,1522.83,2258.62,,,,
98,1544.84,1529.79,2265.67,,,,
99,1545.87,1536.82,2272.78,,,,
100,1546.81,1543.93,2279.95,,,,
101,1547.66,1551.12,2287.18,,,,
102,1548.43,1558.39,2294.49,,,,
103,1549.10,1565.74,2301.88,,,,
104,1549.68,1573.18,2309.34,,,,
105,1550.18,1580.71,2316.89,,,,
106,1550.59,1588.33,2324.52,,,,
107,1550.92,1596.05,2332.25,,,,
108,1551.16,1603.87,2340.06,,,,
109,1551.32,1611.78,2347.98,,,,
110,1551.40,1619.80,2356.00,,,,
111,1551.40,1783.84,2520.04,,,,
112,1551.40,1947.88,2684.08,,,,
113,1551.40,2111.93,2848.13,,,,
114,1551.40,2275.97,3012.17,,,,
115,1551.40,2440.01,3176.21,,,,
116,1551.40,2604.05,3340.25,,,,
117,1551.40,2768.09,3504.29,,,,
118,1551.40,2932.14,3668.34,,,,
119,1551.40,3096.18,3832.38,,,,
120,1554.10,3263.00,3999.22,,,,
121,1554.11,3267.10,4003.32,,,,
122,1554.10,3271.14,4007.36,,,,
123,1554.08,3275.11,4011.33,,,,
124,1554.04,3279.02,4015.24,,,,
125,1553.97,3282.87,4019.10,,,,
126,1553.89,3286.67,4022.90,,,,
127,1553.80,3290.42,4026.64,,,,
128,1553.68,3294.12,4030.34,,,,
129,1553.54,3297.77,4033.99,,,,
130,1553.38,3301.37,4037.60,,,,
131,1553.19,3304.93,4041.17,,,,
132,1552.99,3308.45,4044.69,,,,
133,1552.77,3311.94,4048.19,,,,
134,1552.52,3315.38,4051.64,,,,
135,1552.25,3318.80,4055.07,,,,
136,1551.95,3322.19,4058.47,,,,
137,1551.63,3325.54,4061.84,,,,
138,1551.29,3328.88,4065.19,,,,
139,1550.92,3332.19,4068.52,,,,
140,1550.52,3335.48,4071.84,,,,
141,1550.10,3338.75,4075.14,,,,
142,1549.66,3342.01,4078.43,,,,
143,1549.18,3345.26,4081.71,,,,
144,1548.68,3348.49,4084.98,,,,
145,1548.15,3351.72,4088.26,,,,
146,1547.60,3354.95,4091.53,,,,
147,1547.01,3358.17,4094.80,,,,
148,1546.39,3361.39,4098.08,,,,
149,1545.75,3364.61,4101.37,,,,
150,1545.07,3367.84,4104.67,,,,
151,1544.37,3371.08,4107.98,,,,
152,1543.63,3374.33,4111.31,,,,
153,1542.86,3377.59,4114.66,,,,
154,1542.06,3380.86,4118.03,,,,
155,1541.23,3384.16,4121.43,,,,
156,1540.36,3387.47,4124.86,,,,
157,1539.46,3390.81,4128.31,,,,
158,1538.53,3394.17,4131.80,,,,
159,1537.56,3397.56,4135.33,,,,
160,1536.56,3400.98,4138.89,,,,
161,1535.52,3404.43,4142.50,,,,
162,1534.44,3407.92,4146.15,,,,
163,1533.33,3411.45,4149.84,,,,
164,1532.18,3415.01,4153.59,,,,
165,1531.00,3418.62,4157.39,,,,
166,1529.78,3422.28,4161.24,,,,
167,1528.52,3425.98,4165.15,,,,
168,1527.22,3429.73,4169.13,,,,
169,1525.88,3433.54,4173.16,,,,
170,1524.50,3437.40,4177.26,,,,
171,1468.39,3591.55,4341.30,,,,
172,1412.29,3745.70,4505.34,,,,
173,1356.18,3899.85,4669.39,,,,
174,1300.08,4054.00,4833.43,,,,
175,1243.97,4208.15,4997.47,,,,
176,1187.87,4362.29,5161.51,,,,
177,1107.60,4590.30,5403.23,,,,
,,,,,,,
