Survey,TVD [ft],N [ft],E [ft],MD [ft]
0,0.00,0.00,0.00,0.00
1,164.04,0.00,0.00,164.04
2,328.08,0.00,0.00,328.08
3,492.13,0.00,0.00,492.13
4,656.17,0.00,0.00,656.17
5,820.21,0.00,0.00,820.21
6,1000.01,0.00,0.00,1000.01
7,1004.13,0.00,0.00,1004.13
8,1008.22,-0.01,0.01,1008.22
9,1012.28,-0.02,0.03,1012.28
10,1016.32,-0.03,0.06,1016.32
11,1020.35,-0.06,0.10,1020.35
12,1024.36,-0.09,0.16,1024.36
13,1028.36,-0.13,0.23,1028.36
14,1032.35,-0.19,0.32,1032.35
15,1036.34,-0.25,0.44,1036.35
16,1040.33,-0.33,0.58,1040.34
17,1044.33,-0.43,0.74,1044.34
18,1048.34,-0.54,0.93,1048.36
19,1052.36,-0.67,1.16,1052.39
20,1056.40,-0.82,1.41,1056.44
21,1060.46,-0.98,1.70,1060.51
22,1064.54,-1.17,2.03,1064.61
23,1068.65,-1.38,2.40,1068.75
24,1072.80,-1.62,2.80,1072.92
25,1076.98,-1.88,3.25,1077.13
26,1081.21,-2.16,3.75,1081.40
27,1085.47,-2.48,4.29,1085.71
28,1089.79,-2.82,4.89,1090.08
29,1094.16,-3.19,5.53,1094.51
30,1098.58,-3.60,6.23,1099.01
31,1103.07,-4.03,6.99,1103.58
32,1107.62,-4.50,7.80,1108.22
33,1112.23,-5.01,8.68,1112.95
34,1116.92,-5.55,9.61,1117.76
35,1121.69,-6.13,10.62,1122.66
36,1126.53,-6.75,11.69,1127.66
37,1131.46,-7.40,12.82,1132.76
38,1136.47,-8.10,14.03,1137.97
39,1141.58,-8.84,15.32,1143.28
40,1146.78,-9.63,16.68,1148.71
41,1152.08,-10.46,18.12,1154.27
42,1157.48,-11.34,19.63,1159.95
43,1162.99,-12.26,21.23,1165.76
44,1168.61,-13.23,22.92,1171.71
45,1174.34,-14.25,24.69,1177.79
46,1180.19,-15.33,26.55,1184.03
47,1186.17,-16.45,28.50,1190.41
48,1192.27,-17.63,30.54,1196.96
49,1198.50,-18.87,32.68,1203.66
50,1204.87,-20.16,34.92,1210.53
51,1211.37,-21.51,37.26,1217.57
52,1218.02,-22.92,39.69,1224.79
53,1224.81,-24.39,42.24,1232.18
54,1231.75,-25.91,44.88,1239.77
55,1238.84,-27.51,47.64,1247.54
56,1246.09,-29.16,50.51,1255.51
57,1394.77,-63.82,110.55,1419.56
58,1543.44,-98.49,170.59,1583.60
59,1692.11,-133.15,230.62,1747.64
60,1840.78,-167.81,290.66,1911.68
61,1922.39,-185.24,320.85,2000.42
62,1940.25,-189.30,328.50,2020.27
63,1957.71,-193.18,337.04,2040.09
64,1974.75,-196.88,346.43,2059.90
65,1991.39,-200.40,356.65,2079.74
66,2007.60,-203.76,367.67,2099.62
67,2023.39,-206.94,379.44,2119.57
68,2038.75,-209.96,391.94,2139.60
69,2053.67,-212.82,405.14,2159.74
70,2068.16,-215.53,419.01,2179.97
71,2082.21,-218.09,433.51,2200.32
72,2095.81,-220.50,448.62,2220.79
73,2108.95,-222.77,464.30,2241.38
74,2121.64,-224.90,480.52,2262.08
75,2133.87,-226.90,497.25,2282.90
76,2145.63,-228.77,514.46,2303.83
77,2156.92,-230.51,532.11,2324.86
78,2167.73,-232.13,550.18,2345.98
79,2178.06,-233.64,568.64,2367.18
80,2187.91,-235.03,587.45,2388.46
81,2197.26,-236.31,606.58,2409.79
82,2206.12,-237.50,626.00,2431.17
83,2214.48,-238.58,645.68,2452.58
84,2222.34,-239.56,665.58,2474.00
85,2229.68,-240.46,685.68,2495.42
86,2236.51,-241.26,705.95,2516.82
87,2242.82,-241.99,726.34,2538.18
88,2248.61,-242.64,746.84,2559.49
89,2253.86,-243.21,767.41,2580.73
90,2258.59,-243.71,788.02,2601.88
91,2262.77,-244.14,808.64,2622.92
92,2266.41,-244.52,829.23,2643.83
93,2269.51,-244.83,849.76,2664.60
94,2272.05,-245.10,870.21,2685.21
95,2274.03,-245.31,890.54,2705.64
96,2275.45,-245.48,910.72,2725.87
97,2276.30,-245.61,930.72,2745.89
98,2276.58,-245.70,950.51,2765.68
99,2276.29,-245.76,970.05,2785.22
100,2275.41,-245.79,989.32,2804.51
101,2273.95,-245.80,1008.28,2823.53
102,2271.89,-245.79,1026.91,2842.26
103,2269.24,-245.76,1045.16,2860.71
104,2265.99,-245.72,1063.01,2878.85
105,2262.13,-245.68,1080.43,2896.70
106,2257.67,-245.63,1097.39,2914.23
107,2252.58,-245.59,1113.85,2931.46
108,2246.88,-245.55,1129.78,2948.38
109,2240.55,-245.52,1145.16,2965.01
110,2233.60,-245.50,1159.94,2981.35
111,2226.01,-245.50,1174.11,2997.42
112,2143.98,-245.50,1316.17,3161.46
113,2061.96,-245.50,1458.24,3325.51
114,1979.94,-245.50,1600.30,3489.55
115,1897.92,-245.50,1742.37,3653.59
116,1815.90,-245.50,1884.43,3817.63
117,1753.01,-246.20,2000.66,3949.79
118,1747.17,-246.05,2011.19,3961.82
119,1741.57,-245.56,2021.90,3973.92
120,1736.20,-244.75,2032.78,3986.08
121,1731.07,-243.63,2043.83,3998.32
122,1726.15,-242.21,2055.03,4010.63
123,1721.46,-240.50,2066.37,4023.02
124,1716.99,-238.51,2077.85,4035.50
125,1712.73,-236.24,2089.44,4048.05
126,1708.68,-233.71,2101.14,4060.69
127,1704.84,-230.93,2112.93,4073.40
128,1701.20,-227.90,2124.81,4086.19
129,1697.76,-224.64,2136.76,4099.04
130,1694.51,-221.15,2148.77,4111.97
131,1691.46,-217.45,2160.83,4124.95
132,1688.59,-213.54,2172.93,4137.98
133,1685.91,-209.43,2185.06,4151.07
134,1683.41,-205.14,2197.21,4164.19
135,1681.08,-200.67,2209.36,4177.34
136,1678.93,-196.03,2221.50,4190.52
137,1676.95,-191.23,2233.63,4203.71
138,1675.13,-186.28,2245.72,4216.91
139,1673.47,-181.19,2257.78,4230.10
140,1671.97,-175.98,2269.78,4243.27
141,1670.63,-170.64,2281.72,4256.42
142,1669.43,-165.19,2293.59,4269.53
143,1668.38,-159.63,2305.37,4282.59
144,1667.47,-153.99,2317.05,4295.60
145,1666.70,-148.26,2328.62,4308.53
146,1666.07,-142.46,2340.07,4321.39
147,1665.57,-136.60,2351.39,4334.15
148,1665.19,-130.68,2362.57,4346.80
149,1664.94,-124.71,2373.60,4359.34
150,1664.81,-118.72,2384.45,4371.74
151,1664.80,-112.69,2395.14,4384.01
152,1664.89,-106.65,2405.63,4396.12
153,1665.10,-100.60,2415.92,4408.06
154,1665.41,-94.55,2426.00,4419.82
155,1665.82,-88.52,2435.86,4431.38
156,1666.33,-82.51,2445.49,4442.74
157,1666.94,-76.53,2454.87,4453.89
158,1667.63,-70.59,2464.00,4464.80
159,1668.41,-64.70,2472.85,4475.46
160,1669.27,-58.87,2481.43,4485.87
161,1670.21,-53.10,2489.72,4496.00
162,1671.22,-47.42,2497.70,4505.86
163,1672.31,-41.83,2505.37,4515.41
164,1673.46,-36.33,2512.72,4524.66
165,1674.67,-30.94,2519.73,4533.59
166,1675.95,-25.66,2526.39,4542.18
167,1677.28,-20.52,2532.70,4550.43
168,1705.77,83.33,2656.45,4714.47
169,1734.25,187.17,2780.20,4878.51
170,1762.74,291.02,2903.96,5042.56
171,1791.22,394.86,3027.71,5206.60
172,1812.43,479.93,3132.94,5343.56
