Survey,TVD [ft] PWP,TVD [ft] Sim,HD[ft] PWP,HD[ft] Sim,,,,,
0,0.0000,0.0000,0.0000,0.0000,,,,,
1,100.0000,100.0209,0.0000,0.0000,,,,,
2,108.1146,108.1234,0.0921,0.0448,,,,,
3,116.3129,116.3384,0.3669,0.2064,,,,,
4,124.5890,124.6050,0.8219,0.5045,,,,,
5,132.9369,132.9711,1.4546,0.9490,,,,,
6,141.3509,141.3810,2.2625,1.5419,,,,,
7,149.8249,149.8843,3.2433,2.2911,,,,,
8,158.3532,158.4254,4.3943,3.1959,,,,,
9,166.9299,167.0536,5.7132,4.2657,,,,,
10,175.5491,175.7133,7.1974,5.4980,,,,,
11,184.2050,184.4013,8.8446,6.8951,,,,,
12,192.8915,193.1661,10.6522,8.4693,,,,,
13,201.6030,201.9005,12.6178,10.2042,,,,,
14,210.3334,210.7043,14.7389,12.1226,,,,,
15,219.0770,219.4710,17.0131,14.2043,,,,,
16,227.8277,228.2483,19.4378,16.4622,,,,,
17,236.5799,237.0832,22.0106,18.9128,,,,,
18,245.3275,245.8198,24.7291,21.5146,,,,,
19,254.0647,254.6061,27.5908,24.3131,,,,,
20,262.7857,263.3376,30.5932,27.2782,,,,,
21,271.4845,272.0110,33.7338,30.4089,,,,,
22,280.1553,280.6724,37.0102,33.7232,,,,,
23,288.7922,289.3175,40.4199,37.2229,,,,,
24,297.3893,297.8454,43.9605,40.8670,,,,,
25,305.9408,306.3499,47.6294,44.6957,,,,,
26,314.4407,314.7317,51.4242,48.6642,,,,,
27,322.8832,323.0831,55.3425,52.8163,,,,,
28,331.2624,331.3065,59.3818,57.1034,,,,,
29,339.5725,339.4925,63.5395,61.5728,,,,,
30,347.8075,347.5454,67.8133,66.1722,,,,,
31,355.9616,355.5089,72.2007,70.9248,,,,,
32,364.0289,363.3356,76.6992,75.8006,,,,,
33,372.0035,371.0681,81.3063,80.8244,,,,,
34,379.8796,378.6603,86.0196,85.9643,,,,,
35,387.6512,386.1112,90.8366,91.2162,,,,,
36,395.3126,393.4621,95.7549,96.6072,,,,,
37,402.8578,400.6686,100.7719,102.1031,,,,,
38,410.2809,407.7302,105.8852,107.6997,,,,,
39,417.5761,414.6462,111.0924,113.3927,,,,,
40,424.7374,421.4161,116.3910,119.1778,,,,,
41,431.7591,428.0395,121.7784,125.0511,,,,,
42,438.6352,434.5161,127.2523,131.0082,,,,,
43,445.3599,440.8457,132.8102,137.0452,,,,,
44,451.9272,446.9910,138.4495,143.1207,,,,,
45,458.3314,452.9907,144.1679,149.2667,,,,,
46,464.5664,458.8089,149.9629,155.4407,,,,,
47,470.6266,464.4831,155.8320,161.6762,,,,,
48,476.5059,470.0135,161.7727,167.9697,,,,,
49,482.1985,475.4124,167.7826,174.2826,,,,,
50,487.6985,480.7164,173.8592,180.5300,,,,,
51,493.0000,485.9469,180.0000,186.7016,,,,,
52,598.4442,591.8961,305.6635,311.9597,,,,,
53,703.8883,697.6685,431.3269,437.2984,,,,,
54,809.3325,803.3734,556.9904,562.7627,,,,,
