,MD [ft],Time [min],Inclination [rad],TVD [ft],HD [ft],Offset [],DLS [°/100ft],F_bit_off [N],F_bit_H [N],F_bit [N],ROP axial [ft/hr],ROP normal [ft/hr]
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,100.02,158.00,0.00,100.02,0.00,0.00,0.00,0.00,0.00,0.00,37.82,0.00
2,108.12,170.83,0.01,108.12,0.04,1.00,10.17,21171.00,10885.42,32056.41,37.82,2.55
3,116.34,183.83,0.03,116.34,0.21,1.00,11.45,21171.00,14952.51,36123.51,37.82,2.87
4,124.61,196.92,0.04,124.60,0.50,1.00,11.74,21171.00,15851.23,37022.23,37.82,2.95
5,132.99,210.17,0.06,132.97,0.95,1.00,11.80,21171.00,16051.51,37222.51,37.82,2.96
6,141.42,223.50,0.08,141.38,1.54,1.00,11.81,21171.00,16095.21,37266.21,37.82,2.96
7,149.96,237.00,0.10,149.88,2.29,1.00,11.82,21171.00,16104.68,37275.67,37.82,2.97
8,158.55,250.58,0.11,158.43,3.20,1.00,11.82,21171.00,16106.68,37277.68,37.82,2.97
9,167.24,264.33,0.13,167.05,4.27,1.00,11.82,21171.00,16107.10,37278.10,37.82,2.97
10,175.99,278.17,0.15,175.71,5.50,1.00,11.82,21171.00,16107.19,37278.19,37.82,2.97
11,184.79,292.08,0.17,184.40,6.90,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
12,193.69,306.17,0.19,193.17,8.47,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
13,202.60,320.25,0.21,201.90,10.20,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
14,211.61,334.50,0.22,210.70,12.12,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
15,220.62,348.75,0.24,219.47,14.20,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
16,229.68,363.08,0.26,228.25,16.46,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
17,238.85,377.58,0.28,237.08,18.91,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
18,247.97,392.00,0.30,245.82,21.51,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
19,257.19,406.58,0.32,254.61,24.31,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
20,266.41,421.17,0.34,263.34,27.28,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
21,275.63,435.75,0.36,272.01,30.41,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
22,284.90,450.42,0.37,280.67,33.72,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
23,294.23,465.17,0.39,289.32,37.22,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
24,303.51,479.83,0.41,297.85,40.87,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
25,312.83,494.58,0.43,306.35,44.70,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
26,322.11,509.25,0.45,314.73,48.66,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
27,331.43,524.00,0.47,323.08,52.82,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
28,340.71,538.67,0.49,331.31,57.10,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
29,350.03,553.42,0.51,339.49,61.57,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
30,359.31,568.08,0.53,347.55,66.17,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
31,368.58,582.75,0.55,355.51,70.92,1.00,11.82,21171.00,16107.21,37278.21,37.82,2.97
